,余雪明,城仲模,廖義男,彭鳳至,徐璧湖,曾有田,李震山,林子儀,林永謀,林錫堯,楊仁壽,池啟明,王和雄,翁岳生,葉百修,蔡清遊,蘇永欽,許宗力,許玉秀,謝在全,賴英照,陳敏,陳新民,陳春生,黃茂榮
596.0,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.01,0.09,0.19,0.01,0.0,0.0,0.06,0.08,0.23,0.0,0.0,0.02,0.02,0.02,0.04,0.02,0.0,0.11
597.0,0.01,0.0,0.1,0.02,0.0,0.0,0.07,0.0,0.06,0.21,0.04,0.04,0.02,0.0,0.16,0.16,0.01,0.01,0.0,0.02,0.02,0.0,0.0,0.01,0.04
598.0,0.0,0.01,0.03,0.01,0.0,0.01,0.06,0.0,0.05,0.14,0.02,0.01,0.01,0.0,0.13,0.3,0.0,0.01,0.03,0.03,0.06,0.0,0.01,0.01,0.07
599.0,0.01,0.0,0.02,0.0,0.0,0.0,0.09,0.02,0.0,0.28,0.0,0.13,0.0,0.0,0.16,0.2,0.0,0.0,0.0,0.01,0.01,0.06,0.0,0.0,0.01
600.0,0.0,0.0,0.08,0.01,0.02,0.01,0.04,0.0,0.01,0.0,0.03,0.0,0.02,0.0,0.02,0.18,0.01,0.0,0.12,0.09,0.34,0.01,0.0,0.0,0.01
601.0,0.02,0.01,0.03,0.0,0.0,0.0,0.05,0.02,0.2,0.07,0.01,0.03,0.01,0.0,0.06,0.32,0.0,0.02,0.01,0.0,0.0,0.01,0.0,0.07,0.06
602.0,0.05,0.0,0.0,0.04,0.0,0.0,0.05,0.02,0.05,0.08,0.02,0.03,0.0,0.0,0.05,0.38,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.09,0.12
603.0,0.05,0.01,0.0,0.05,0.0,0.0,0.11,0.02,0.03,0.08,0.02,0.12,0.03,0.0,0.11,0.16,0.0,0.0,0.01,0.01,0.0,0.0,0.02,0.12,0.05
604.0,0.01,0.01,0.02,0.01,0.0,0.0,0.12,0.01,0.06,0.17,0.03,0.04,0.06,0.01,0.09,0.14,0.01,0.02,0.0,0.03,0.01,0.02,0.02,0.02,0.09
605.0,0.1,0.01,0.03,0.0,0.0,0.0,0.11,0.01,0.03,0.04,0.01,0.04,0.0,0.0,0.08,0.24,0.0,0.0,0.01,0.02,0.01,0.0,0.0,0.09,0.17
606.0,0.0,0.0,0.08,0.01,0.02,0.01,0.04,0.0,0.01,0.0,0.03,0.0,0.02,0.0,0.02,0.18,0.01,0.0,0.12,0.09,0.34,0.01,0.0,0.0,0.01
607.0,0.0,0.0,0.06,0.0,0.0,0.01,0.04,0.01,0.02,0.15,0.02,0.01,0.01,0.0,0.17,0.22,0.0,0.0,0.04,0.02,0.06,0.05,0.02,0.05,0.04
608.0,0.0,0.0,0.05,0.03,0.0,0.0,0.06,0.01,0.01,0.09,0.01,0.01,0.03,0.0,0.17,0.33,0.0,0.02,0.02,0.02,0.01,0.02,0.0,0.03,0.08
609.0,0.0,0.01,0.05,0.01,0.0,0.02,0.03,0.03,0.03,0.13,0.03,0.03,0.04,0.02,0.11,0.15,0.03,0.03,0.03,0.02,0.05,0.01,0.01,0.0,0.13
610.0,0.01,0.0,0.03,0.01,0.0,0.03,0.08,0.02,0.03,0.13,0.0,0.04,0.01,0.04,0.11,0.09,0.0,0.02,0.0,0.0,0.03,0.02,0.02,0.07,0.21
611.0,0.05,0.0,0.04,0.02,0.0,0.0,0.09,0.01,0.03,0.03,0.03,0.0,0.0,0.0,0.09,0.22,0.02,0.02,0.12,0.0,0.07,0.02,0.01,0.03,0.1
